Mouser OR Mfr. # (Input),Customer #,Mouser Part Number,Mfr Part Number,Manufacturer Name,Description,Min,Mult,Availability,Package Type,-----,Unit Price 1,Extended Price 1,Qty. 2,Qty. 1,Extended Price 2,Qty. 3,Price 3,Extended Price 3,Lead Time in Days,Lead Time in Weeks,Lifecycle,Pb Free,RoHS,Package Quantity,NCNR,Datasheet URL
603-AC1206FR-071R2L,,603-AC1206FR-071R2L,AC1206FR-071R2L,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 1.2Ohms 1/4W 1206 1%  AEC-Q200 Standard Power Version,1,1,25,REEL,5,$0.15 ,$0.76 ,,3,,,,,84,12,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_AC_51_RoHS_L_9-3005297.pdf
603-RC0805FR-07100RL,,603-RC0805FR-07100RL,RC0805FR-07100RL,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 100 Ohms 125 mW 0805 1%,1,1,"640,261",REEL,5,$0.10 ,$0.51 ,,3,,,,,126,18,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf
603-RT0805FRE0764R9L,,603-RT0805FRE0764R9L,RT0805FRE0764R9L,YAGEO,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/8W 64.9 ohm 1% 50ppm,1,1,"4,235",REEL,5,$0.12 ,$0.61 ,,3,,,,,137,20,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf
603-AR0805JR-0710RL,,603-AR0805JR-0710RL,AR0805JR-0710RL,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 10Ohms 1/8W 0805 5% 5% AEC-Q200,1,1,"4,578",REEL,5,$0.47 ,$2.34 ,,3,,,,,304,44,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_AR_51_RoHS_L_7-3003081.pdf
603-RC0805FR-076R19L,,603-RC0805FR-076R19L,RC0805FR-076R19L,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 6.19 Ohms 125 mW 0805 1%,1,1,"5,163",REEL,5,$0.10 ,$0.51 ,,3,,,,,84,12,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf
603-RC0805FR-07100RL,,603-RC0805FR-07100RL,RC0805FR-07100RL,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 100 Ohms 125 mW 0805 1%,1,1,"640,261",REEL,5,$0.10 ,$0.51 ,,3,,,,,126,18,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf
603-RT0805FRE07133KL,,603-RT0805FRE07133KL,RT0805FRE07133KL,YAGEO,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/8W 133K ohm 1% 50ppm,1,1,395,REEL,5,$0.10 ,$0.51 ,,3,,,,,98,14,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf
603-RT0805FRE07196KL,,603-RT0805FRE07196KL,RT0805FRE07196KL,YAGEO,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/8W 196K ohm 1% 50ppm,1,1,"12,688",REEL,5,$0.12 ,$0.61 ,,3,,,,,98,14,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf
603-AC0805FR-7W1KL,,603-AC0805FR-7W1KL,AC0805FR-7W1KL,YAGEO,Thick Film Resistors - SMD Thick Film Resistors - SMD 1 kOhms 250mW 0805 1 % AEC-Q200 Double Power Version,1,1,"7,144",REEL,5,$0.10 ,$0.51 ,,3,,,,,154,22,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_AC_51_RoHS_L_9-3005297.pdf
603-RT0805BRD075K62L,,603-RT0805BRD075K62L,RT0805BRD075K62L,YAGEO,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/8W 5.62K ohm .1% 25ppm,1,1,"3,632",REEL,5,$0.37 ,$1.83 ,,3,,,,,140,20,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf
652-CRT0805BY5001EAS,,652-CRT0805BY5001EAS,CRT0805-BY-5001EAS,Bourns,Thin Film Resistors - SMD Thin Film Resistors - SMD 5K    OHM  .1%  25PPM   1/8W,1,1,"65,900",REEL,5,$0.57 ,$2.84 ,,3,,,,,91,13,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/54/crt_as-1649073.pdf
667-ERJ-PB3B1652V,,667-ERJ-PB3B1652V,ERJ-PB3B1652V,Panasonic,"Thick Film Resistors - SMD Thick Film Resistors - SMD 0603 Anti-Surge Res. 0.1%, 16.5Koh",1,1,"16,765",REEL,5,$0.26 ,$1.32 ,,3,,,,,126,18,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/315/AOA0000C328-1530132.pdf
603-RT0603BRD072K94L,,603-RT0603BRD072K94L,RT0603BRD072K94L,YAGEO,Thin Film Resistors - SMD Thin Film Resistors - SMD Thin Film Resistors,1,1,"6,505",REEL,5,$0.34 ,$1.68 ,,3,,,,,140,20,,No,Yes,"5,000",No,https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf
652-3362H-1-103LF,,652-3362H-1-103LF,3362H-1-103LF,Bourns,"Trimmer Resistors - Through Hole Trimmer Resistors - Through Hole 1/4""SQ 10KOHMS 10% 0.5WATTS",1,1,"8,145",TUBE,5,$2.11 ,$10.55 ,,3,,,,,105,15,,No,Yes,250,No,https://www.mouser.com/datasheet/2/54/3362-776956.pdf
603-1206FRE070R01Z,,603-1206FRE070R01Z,PA1206FRE070R01Z,YAGEO,Current Sense Resistors - SMD Current Sense Resistors - SMD 10mOhms 1/4W 50PPM/C  1 % 1206 AEC-Q200,1,1,"7,911",REEL,5,$0.40 ,$1.98 ,,3,,,,,132,19,New Product,Yes,Yes,"4,000",No,https://www.mouser.com/datasheet/2/447/PYu_PA0100_2512_51_RoHS_2-2604383.pdf
