x,y,layer1,layer2,voltage1,voltage2,current
1085.46,883.043,TOP_LAYER,BOTTOM_LAYER,0.110689,0.110692,-0.000680738
1085.46,1867.29,TOP_LAYER,BOTTOM_LAYER,0.112032,0.111763,0.0805306
1085.46,2064.15,TOP_LAYER,BOTTOM_LAYER,0.111118,0.111214,-0.0287528
1085.46,2162.57,TOP_LAYER,BOTTOM_LAYER,0.11106,0.111239,-0.0536111
1085.46,2556.27,TOP_LAYER,BOTTOM_LAYER,0.111378,0.111403,-0.00744777
1085.46,2654.7,TOP_LAYER,BOTTOM_LAYER,0.11138,0.111396,-0.00482169
1085.46,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111379,0.111392,-0.00365783
1103.66,581.665,TOP_LAYER,BOTTOM_LAYER,0.110991,0.110991,2.65556e-13
1103.66,2316.66,TOP_LAYER,BOTTOM_LAYER,0.111406,0.111461,-0.0163133
1134.67,390.917,TOP_LAYER,BOTTOM_LAYER,0.110848,0.110943,-0.02829
1134.67,981.468,TOP_LAYER,BOTTOM_LAYER,0.110671,0.110748,-0.0230504
1134.67,1867.29,TOP_LAYER,BOTTOM_LAYER,0.11244,0.112463,-0.00693938
1134.67,2064.15,TOP_LAYER,BOTTOM_LAYER,0.112013,0.111384,0.188111
1134.67,2556.27,TOP_LAYER,BOTTOM_LAYER,0.111392,0.11144,-0.0144336
1134.67,2654.7,TOP_LAYER,BOTTOM_LAYER,0.111389,0.111419,-0.00911305
1134.67,2753.12,TOP_LAYER,BOTTOM_LAYER,0.111385,0.11141,-0.00749593
1143.66,431.665,TOP_LAYER,BOTTOM_LAYER,0.110894,0.1111,-0.0615387
1143.66,1441.66,TOP_LAYER,BOTTOM_LAYER,33.8172,33.8174,-0.0438932
1143.66,1456.66,TOP_LAYER,BOTTOM_LAYER,33.8172,33.8174,-0.0438932
1143.66,1471.66,TOP_LAYER,BOTTOM_LAYER,33.8175,33.8176,-0.0137732
1143.66,1486.66,TOP_LAYER,BOTTOM_LAYER,33.8175,33.8176,-0.0137732
